begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,PDCP_SDU_VOL_DL,L.Thrp.bits.DL
2022-02-12,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,667456308856.0
2022-02-13,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,438175111648.0
2022-02-17,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,0,584646634368.0
2022-02-18,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,541924883096.0
2022-02-19,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,628583782696.0
2022-02-20,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,354770973304.0
2022-03-01,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,564518608264.0
2022-03-02,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,590351720024.0
2022-03-03,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,470407693536.0
2022-03-06,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,0,264960678096.0
2022-03-07,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,542954401376.0
2022-03-09,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,0,19696638776.0
2022-03-10,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0,611344959000.0
2022-03-11,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,657013357744.0
2022-03-12,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,0,497821104944.0
2022-03-13,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,0,259499604760.0
2022-03-14,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,619250437136.0
2022-03-15,"4G_ROCKELBANK/Cell:eNodeB Function Name=4G_ROCKELBANK,Local Cell ID=6,Cell Name=4G_ROCKELBANK-6,eNodeB ID=5038,Cell FDD TDD indication=CELL_FDD",809056.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,547716014280.0
2022-02-02,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=3,Cell Name=4G_MALAMA_II-3,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809128.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,0,481750306944.0
2022-02-03,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=3,Cell Name=4G_MALAMA_II-3,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809128.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,458407576376.0
2022-02-04,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=3,Cell Name=4G_MALAMA_II-3,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809128.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,392253511024.0
2022-02-05,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=3,Cell Name=4G_MALAMA_II-3,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809128.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,396416876416.0
2022-02-06,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=3,Cell Name=4G_MALAMA_II-3,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809128.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,470024851760.0
2022-02-08,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=3,Cell Name=4G_MALAMA_II-3,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809128.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,391248643736.0
2022-02-10,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=3,Cell Name=4G_MALAMA_II-3,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809128.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,0,431813836696.0
