begintime,sk_object,duration,M8049C0,M8049C1,M8049C2,M8049C3
2022-03-11 02:45:00,21832.0,15,13.0,26431.0,13170.0,26755.0
2022-03-11 02:45:00,21833.0,15,6.0,14543.0,702.0,14715.0
2022-03-11 02:45:00,21834.0,15,137.0,46930.0,4108.0,47970.0
2022-03-11 02:45:00,21835.0,15,77.0,24874.0,2125.0,25565.0
2022-03-11 02:45:00,21836.0,15,30.0,17231.0,5297.0,18474.0
2022-03-11 02:45:00,21837.0,15,24.0,18111.0,12492.0,19127.0
2022-03-11 02:45:00,21838.0,15,23.0,16052.0,551.0,16418.0
2022-03-11 03:00:00,21820.0,15,44.0,26432.0,2211.0,27476.0
2022-03-11 03:00:00,21821.0,15,16.0,24163.0,8836.0,27131.0
2022-03-11 03:00:00,21822.0,15,21.0,14752.0,859.0,14896.0
2022-03-11 03:00:00,21823.0,15,123.0,34019.0,11728.0,39114.0
2022-03-11 03:00:00,21824.0,15,189.0,43974.0,10385.0,47798.0
2022-03-11 03:00:00,21825.0,15,91.0,42995.0,16050.0,43777.0
2022-03-11 03:00:00,21826.0,15,124.0,38206.0,12529.0,42391.0
2022-03-11 03:00:00,21827.0,15,116.0,36676.0,16581.0,41926.0
2022-03-11 03:00:00,21828.0,15,45.0,37646.0,20511.0,38160.0
2022-03-11 03:00:00,21829.0,15,68.0,25191.0,1959.0,26423.0
2022-03-11 03:00:00,21830.0,15,7.0,12207.0,670.0,12368.0
2022-03-11 03:00:00,21831.0,15,98.0,33147.0,6005.0,34359.0
2022-03-11 03:00:00,21832.0,15,13.0,20385.0,5942.0,20568.0
2022-03-11 03:00:00,21833.0,15,7.0,8818.0,576.0,8950.0
2022-03-11 03:00:00,21834.0,15,132.0,38933.0,16718.0,39962.0
2022-03-11 03:00:00,21835.0,15,72.0,29153.0,2338.0,29926.0
2022-03-11 03:00:00,21836.0,15,29.0,22471.0,3381.0,22894.0
2022-03-11 03:00:00,21837.0,15,24.0,20122.0,2912.0,21263.0
2022-03-11 03:00:00,21838.0,15,21.0,16637.0,653.0,17030.0
2022-03-11 03:15:00,21820.0,15,45.0,20156.0,1615.0,20585.0
2022-03-11 03:15:00,21821.0,15,14.0,9095.0,4085.0,12039.0
2022-03-11 03:15:00,21822.0,15,20.0,15540.0,1760.0,15842.0
2022-03-11 03:15:00,21823.0,15,116.0,31543.0,12924.0,32965.0
2022-03-11 03:15:00,21824.0,15,179.0,40756.0,8308.0,43827.0
2022-03-11 03:15:00,21825.0,15,73.0,40864.0,2645.0,42238.0
2022-03-11 03:15:00,21826.0,15,115.0,37272.0,3124.0,39128.0
2022-03-11 03:15:00,21827.0,15,115.0,36796.0,2206.0,38035.0
2022-03-11 03:15:00,21828.0,15,43.0,32633.0,2034.0,33228.0
2022-03-11 03:15:00,21829.0,15,69.0,21499.0,16297.0,22544.0
2022-03-11 03:15:00,21830.0,15,9.0,2252.0,321.0,2313.0
2022-03-11 03:15:00,21831.0,15,92.0,31202.0,2137.0,32660.0
2022-03-11 03:15:00,21832.0,15,16.0,25808.0,1356.0,26052.0
2022-03-11 03:15:00,21833.0,15,8.0,16593.0,728.0,17023.0
2022-03-11 03:15:00,21834.0,15,135.0,50145.0,9179.0,56111.0
2022-03-11 03:15:00,21835.0,15,69.0,45613.0,2023.0,46621.0
2022-03-11 03:15:00,21836.0,15,28.0,11418.0,1338.0,11458.0
2022-03-11 03:15:00,21837.0,15,25.0,19102.0,1892.0,19609.0
2022-03-11 03:15:00,21838.0,15,21.0,16914.0,11769.0,21305.0
2022-03-11 03:30:00,21820.0,15,42.0,36673.0,6112.0,38537.0
2022-03-11 03:30:00,21821.0,15,14.0,25017.0,6976.0,25481.0
2022-03-11 03:30:00,21822.0,15,21.0,15359.0,1778.0,15654.0
2022-03-11 03:30:00,21823.0,15,116.0,39837.0,4238.0,41518.0
2022-03-11 03:30:00,21824.0,15,174.0,40898.0,10825.0,45152.0
2022-03-11 03:30:00,21825.0,15,67.0,42218.0,2447.0,44506.0
2022-03-11 03:30:00,21826.0,15,110.0,34956.0,3032.0,36709.0
2022-03-11 03:30:00,21827.0,15,105.0,37092.0,4109.0,39969.0
2022-03-11 03:30:00,21828.0,15,42.0,41387.0,3796.0,42073.0
2022-03-11 03:30:00,21829.0,15,67.0,33472.0,1468.0,34245.0
2022-03-11 03:30:00,21830.0,15,8.0,4290.0,1006.0,4355.0
2022-03-11 03:30:00,21831.0,15,89.0,29443.0,2633.0,30777.0
2022-03-11 03:30:00,21832.0,15,18.0,21624.0,929.0,22039.0
2022-03-11 03:30:00,21833.0,15,8.0,15703.0,687.0,16244.0
2022-03-11 03:30:00,21834.0,15,134.0,39625.0,3387.0,40776.0
2022-03-11 03:30:00,21835.0,15,76.0,37672.0,2514.0,37672.0
2022-03-11 03:30:00,21836.0,15,29.0,1996.0,3590.0,3790.0
2022-03-11 03:30:00,21837.0,15,25.0,18789.0,1237.0,18965.0
2022-03-11 03:30:00,21838.0,15,21.0,16755.0,1323.0,17203.0
2022-03-11 03:45:00,21820.0,15,43.0,27295.0,1283.0,27836.0
2022-03-11 03:45:00,21821.0,15,15.0,26243.0,2309.0,26403.0
2022-03-11 03:45:00,21822.0,15,20.0,13948.0,1027.0,14396.0
2022-03-11 03:45:00,21823.0,15,117.0,41671.0,5182.0,42666.0
2022-03-11 03:45:00,21824.0,15,175.0,41055.0,7887.0,44070.0
2022-03-11 03:45:00,21825.0,15,71.0,42588.0,5705.0,45838.0
2022-03-11 03:45:00,21826.0,15,109.0,34309.0,3335.0,35407.0
2022-03-11 03:45:00,21827.0,15,106.0,35994.0,2099.0,37690.0
2022-03-11 03:45:00,21828.0,15,41.0,35766.0,3444.0,36654.0
2022-03-11 03:45:00,21829.0,15,66.0,34081.0,1443.0,34532.0
2022-03-11 03:45:00,21830.0,15,9.0,13766.0,329.0,14038.0
2022-03-11 03:45:00,21831.0,15,87.0,24008.0,2416.0,24802.0
2022-03-11 03:45:00,21832.0,15,16.0,15447.0,1418.0,15766.0
2022-03-11 03:45:00,21833.0,15,8.0,9610.0,744.0,9855.0
2022-03-11 03:45:00,21834.0,15,132.0,38949.0,11739.0,41112.0
2022-03-11 03:45:00,21835.0,15,72.0,35662.0,4717.0,36491.0
2022-03-11 03:45:00,21836.0,15,33.0,4066.0,9921.0,10203.0
2022-03-11 03:45:00,21837.0,15,21.0,19345.0,617.0,19478.0
2022-03-11 03:45:00,21838.0,15,21.0,15267.0,16065.0,17155.0
2022-03-11 04:00:00,21820.0,15,36.0,18864.0,9682.0,18968.0
2022-03-11 04:00:00,21821.0,15,13.0,9260.0,11037.0,13048.0
2022-03-11 04:00:00,21822.0,15,19.0,14859.0,786.0,15167.0
2022-03-11 04:00:00,21823.0,15,130.0,41575.0,5741.0,43644.0
2022-03-11 04:00:00,21824.0,15,170.0,39645.0,3752.0,41147.0
2022-03-11 04:00:00,21825.0,15,74.0,44373.0,4842.0,46236.0
2022-03-11 04:00:00,21826.0,15,116.0,35894.0,2912.0,37017.0
2022-03-11 04:00:00,21827.0,15,107.0,35284.0,11398.0,36754.0
2022-03-11 04:00:00,21828.0,15,46.0,35260.0,24505.0,35721.0
2022-03-11 04:00:00,21829.0,15,77.0,25117.0,3198.0,25808.0
2022-03-11 04:00:00,21830.0,15,7.0,637.0,441.0,746.0
2022-03-11 04:00:00,21831.0,15,93.0,32650.0,2298.0,33991.0
2022-03-11 04:00:00,21832.0,15,18.0,9534.0,8347.0,9957.0
2022-03-11 04:00:00,21833.0,15,7.0,9089.0,859.0,9603.0
2022-03-11 04:00:00,21834.0,15,137.0,41895.0,3685.0,43170.0
2022-03-11 04:00:00,21835.0,15,70.0,38595.0,1527.0,39725.0
2022-03-11 04:00:00,21836.0,15,32.0,20037.0,3528.0,20772.0
2022-03-11 04:00:00,21837.0,15,27.0,20064.0,1397.0,20842.0
2022-03-11 04:00:00,21838.0,15,24.0,16358.0,5880.0,16747.0
2022-03-11 04:15:00,21820.0,15,43.0,19977.0,1761.0,20344.0
2022-03-11 04:15:00,21821.0,15,15.0,3978.0,8124.0,9127.0
2022-03-11 04:15:00,21822.0,15,20.0,12805.0,1751.0,13024.0
2022-03-11 04:15:00,21823.0,15,130.0,38956.0,11263.0,40247.0
2022-03-11 04:15:00,21824.0,15,175.0,40581.0,12774.0,41798.0
2022-03-11 04:15:00,21825.0,15,75.0,32957.0,6059.0,33524.0
2022-03-11 04:15:00,21826.0,15,118.0,36651.0,13920.0,38656.0
2022-03-11 04:15:00,21827.0,15,117.0,36579.0,3436.0,38377.0
2022-03-11 04:15:00,21828.0,15,44.0,38468.0,1870.0,39415.0
2022-03-11 04:15:00,21829.0,15,78.0,29152.0,4353.0,30752.0
2022-03-11 04:15:00,21830.0,15,7.0,11672.0,180.0,11798.0
2022-03-11 04:15:00,21831.0,15,101.0,31384.0,4839.0,32407.0
2022-03-11 04:15:00,21832.0,15,19.0,19925.0,1674.0,20449.0
2022-03-11 04:15:00,21833.0,15,7.0,4353.0,803.0,4703.0
2022-03-11 04:15:00,21834.0,15,148.0,33227.0,4940.0,34621.0
2022-03-11 04:15:00,21835.0,15,74.0,40882.0,1906.0,42435.0
2022-03-11 04:15:00,21836.0,15,33.0,14743.0,813.0,14904.0
2022-03-11 04:15:00,21837.0,15,31.0,20097.0,15671.0,20669.0
2022-03-11 04:15:00,21838.0,15,24.0,16085.0,13216.0,16659.0
2022-03-11 04:30:00,21820.0,15,42.0,30980.0,1002.0,31602.0
2022-03-11 04:30:00,21821.0,15,19.0,33288.0,4089.0,36589.0
2022-03-11 04:30:00,21822.0,15,20.0,15347.0,980.0,15655.0
2022-03-11 04:30:00,21823.0,15,120.0,40978.0,5269.0,42211.0
2022-03-11 04:30:00,21824.0,15,174.0,40682.0,14635.0,42424.0
2022-03-11 04:30:00,21825.0,15,69.0,40520.0,1656.0,41150.0
2022-03-11 04:30:00,21826.0,15,118.0,36775.0,9551.0,38602.0
2022-03-11 04:30:00,21827.0,15,101.0,37516.0,12565.0,39933.0
2022-03-11 04:30:00,21828.0,15,39.0,40436.0,3600.0,40925.0
2022-03-11 04:30:00,21829.0,15,70.0,32872.0,15622.0,33495.0
2022-03-11 04:30:00,21830.0,15,7.0,1555.0,376.0,1640.0
2022-03-11 04:30:00,21831.0,15,91.0,31363.0,7108.0,32267.0
