begintime,sk_object,1542455881,1542455397,1542455401,1542455404,1542455405,1542455393,1542455396,1542455400,1542455392,1542455872,1542455873,1542455874,1542455875,1542455876,1542455877,1542455878,1542455879,1542455880,duration
2022-03-01,7729525.0,,0.0,198462.0,533.0,432647.0,0.0,0.0,370.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729526.0,,0.0,72.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729527.0,,0.0,349317.0,140.0,29550.0,0.0,0.0,378.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729528.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729529.0,,0.0,789691.0,282.0,206344.0,0.0,0.0,814.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729530.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729531.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729532.0,,0.0,153337.0,0.0,0.0,0.0,0.0,209.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729533.0,,0.0,0.0,100.0,127679.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729534.0,,0.0,593734.0,698.0,648386.0,0.0,0.0,553.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729535.0,,0.0,1165927.0,1229.0,718446.0,0.0,0.0,1412.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729536.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729537.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729538.0,,0.0,1032772428.0,8585049.0,9784643028.0,0.0,0.0,5108643.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729539.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729540.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729541.0,,0.0,123952.0,39.0,29455.0,0.0,0.0,128.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729542.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729543.0,,0.0,1379647607.0,10714446.0,12656102901.0,0.0,0.0,5089456.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729544.0,,0.0,283214.0,464.0,329095.0,0.0,0.0,285.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729545.0,,0.0,59539.0,26.0,20747.0,0.0,0.0,67.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729546.0,,0.0,86078.0,70.0,95478.0,0.0,0.0,115.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729547.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729548.0,,0.0,2125.0,12.0,3536.0,0.0,0.0,17.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729549.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729550.0,,0.0,36.0,2.0,72.0,0.0,0.0,1.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729551.0,,0.0,108922.0,229.0,154389.0,0.0,0.0,171.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729552.0,,0.0,372590.0,656.0,425148.0,0.0,0.0,681.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729554.0,,0.0,904468801.0,8887769.0,10841207034.0,0.0,0.0,4288955.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729555.0,,0.0,2076.0,204.0,82646.0,0.0,0.0,23.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729556.0,,0.0,160072.0,419.0,409777.0,0.0,0.0,285.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729557.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729558.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729559.0,,0.0,5215.0,21.0,4316.0,0.0,0.0,48.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729560.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729561.0,,0.0,991197.0,1471.0,1211640.0,0.0,0.0,1420.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729562.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729563.0,,0.0,2204.0,38.0,3087.0,0.0,0.0,29.0,0.0,,,,,,,,,,PT3600S
2022-03-01,7729564.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,PT3600S
