begintime,ne_name,sk_object,vendor,ne_type,aggregation,integrity,L.Thrp.bits.DL,L.E-RAB.AttEst.QCI.5,L.E-RAB.SuccEst.QCI.7
2022-02-06,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,6634694184.0,0.0,4339.0
2022-02-08,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,24317819776.0,0.0,7514.0
2022-02-10,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,36960089080.0,0.0,8749.0
2022-02-11,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,23813980528.0,0.0,12744.0
2022-02-12,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,15325621984.0,0.0,6286.0
2022-02-13,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,27960564952.0,0.0,6212.0
2022-02-17,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,23735814104.0,0.0,7850.0
2022-02-18,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,15381458136.0,0.0,5055.0
2022-02-19,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,25401008824.0,0.0,6437.0
2022-02-20,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,8553326112.0,0.0,3114.0
2022-03-01,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,11829079496.0,0.0,7558.0
2022-03-02,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,14130030832.0,0.0,6799.0
2022-03-03,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,33109238200.0,0.0,8246.0
2022-03-06,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,91.66666666666667,44680697296.0,0.0,2599.0
2022-03-07,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,19927609736.0,0.0,8863.0
2022-03-09,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,4.166666666666667,687816248.0,0.0,485.0
2022-03-10,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,18894118080.0,0.0,8894.0
2022-03-11,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,41951934504.0,0.0,7134.0
2022-03-12,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,79.16666666666667,19374883600.0,0.0,5516.0
2022-03-13,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,87.5,8654356056.0,0.0,2913.0
2022-03-14,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,20452862120.0,0.0,7759.0
2022-03-15,"4G_MOKABA/Cell:eNodeB Function Name=4G_MOKABA,Local Cell ID=2,Cell Name=4G_MOKABA-2,eNodeB ID=5100,Cell FDD TDD indication=CELL_FDD",809057.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,28279309888.0,0.0,10227.0
2022-02-02,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,95.83333333333333,486879145016.0,0.0,46982.0
2022-02-03,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,590965043664.0,0.0,49663.0
2022-02-04,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,676544709840.0,0.0,63723.0
2022-02-05,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,580526680832.0,0.0,59427.0
2022-02-06,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,566491582880.0,0.0,65136.0
2022-02-08,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,472733924656.0,0.0,54281.0
2022-02-10,"4G_MALAMA_II/Cell:eNodeB Function Name=4G_MALAMA_II,Local Cell ID=2,Cell Name=4G_MALAMA_II-2,eNodeB ID=5060,Cell FDD TDD indication=CELL_FDD",809090.0,Huawei,eNodeB(4G) : Measurement of Cell Performance,dynamic,100.0,548424981464.0,0.0,58479.0
