begintime,sk_object,duration,integrity,M40001C0
2022-03-11 10:00:00,15258.0,60.0,100.0,12.0
2022-03-11 07:00:00,15310.0,60.0,100.0,11.0
2022-03-11 00:00:00,15245.0,60.0,100.0,12.0
2022-03-12 16:00:00,15262.0,60.0,100.0,10.0
2022-03-12 07:00:00,15297.0,60.0,100.0,11.0
2022-03-11 21:00:00,15278.0,60.0,100.0,11.0
2022-03-11 04:00:00,15251.0,60.0,100.0,11.0
2022-03-11 02:00:00,15184.0,60.0,100.0,11.0
2022-03-11 20:00:00,15157.0,60.0,100.0,13.0
2022-03-12 20:00:00,15248.0,60.0,100.0,11.0
2022-03-12 06:00:00,15210.0,60.0,100.0,11.0
2022-03-12 07:00:00,15321.0,60.0,100.0,11.0
2022-03-12 20:00:00,15319.0,60.0,100.0,12.0
2022-03-11 17:00:00,15283.0,60.0,100.0,12.0
