begintime,sk_object,duration,integrity,1593835630,1593835632,1593835633,1593835634,1593835679,1593835680,1593835681,1593835682
2022-02-06,7732592.0,86400.0,100.0,0.0,38.0,4.666666666666667,0.0,,,,
2022-02-17,7732594.0,75600.0,87.5,0.0,7.0,4.9523809523809526,0.0,,,,
2022-02-13,7732659.0,86400.0,100.0,0.0,7.0,4.708333333333333,0.0,,,,
2022-02-18,7732643.0,86400.0,100.0,0.0,6.0,3.6666666666666665,0.0,,,,
2022-02-05,7732744.0,86400.0,100.0,0.0,4.0,1.0,0.0,,,,
2022-02-19,7732742.0,86400.0,100.0,0.0,8.0,2.2083333333333335,0.0,,,,
2022-03-07,7732624.0,86400.0,100.0,0.0,47.0,5.0,0.0,,,,
2022-02-17,7732750.0,75600.0,87.5,0.0,7.0,5.0476190476190474,0.0,,,,
2022-03-12,7732599.0,68400.0,79.16666666666667,0.0,5.0,1.0,0.0,,,,
2022-02-20,7732574.0,86400.0,100.0,0.0,41.0,3.9583333333333335,0.0,,,,
2022-02-04,7732696.0,86400.0,100.0,0.0,41.0,4.708333333333333,0.0,,,,
2022-02-13,7732606.0,86400.0,100.0,0.0,7.0,4.791666666666667,0.0,,,,
2022-03-14,7732589.0,75600.0,87.5,0.0,65.0,6.714285714285714,0.0,,,,
2022-02-13,7732581.0,86400.0,100.0,0.0,9.0,5.875,0.0,,,,
2022-03-15,7732658.0,86400.0,100.0,0.0,4.0,1.0,0.0,,,,
2022-02-17,7732697.0,75600.0,87.5,0.0,8.0,5.619047619047619,0.0,,,,
2022-03-13,7732595.0,75600.0,87.5,0.0,6.0,3.619047619047619,0.0,,,,
2022-02-08,7732729.0,86400.0,100.0,0.0,22.0,10.75,0.0,,,,
2022-02-03,7732664.0,86400.0,100.0,0.0,12.0,8.5,0.0,,,,
2022-02-08,7732658.0,86400.0,100.0,0.0,6.0,1.0,0.0,,,,
2022-02-18,7732637.0,86400.0,100.0,0.0,7.0,4.958333333333333,0.0,,,,
2022-02-05,7732693.0,86400.0,100.0,0.0,10.0,7.375,0.0,,,,
2022-03-14,7732580.0,82800.0,95.83333333333333,0.0,16.0,1.0,0.0,,,,
2022-02-06,7732682.0,86400.0,100.0,0.0,14.0,5.291666666666667,0.0,,,,
2022-03-03,7732677.0,86400.0,100.0,0.0,7.0,5.0,0.0,,,,
2022-02-10,7732613.0,86400.0,100.0,0.0,8.0,5.416666666666667,0.0,,,,
2022-02-03,7732727.0,86400.0,100.0,0.0,5.0,1.0,0.0,,,,
2022-02-08,7732679.0,86400.0,100.0,0.0,25.0,10.208333333333334,0.0,,,,
2022-03-12,7732735.0,68400.0,79.16666666666667,0.0,11.0,8.105263157894736,0.0,,,,
2022-02-13,7732756.0,86400.0,100.0,0.0,6.0,3.8333333333333335,0.0,,,,
2022-02-18,7732592.0,86400.0,100.0,0.0,7.0,4.708333333333333,0.0,,,,
2022-03-13,7732596.0,75600.0,87.5,0.0,5.0,2.9523809523809526,0.0,,,,
2022-03-07,7732762.0,86400.0,100.0,0.0,9.0,2.7083333333333335,0.0,,,,
2022-02-03,7732645.0,86400.0,100.0,0.0,6.0,1.0,0.0,,,,
2022-02-10,7732713.0,86400.0,100.0,0.0,16.0,1.0,0.0,,,,
2022-03-13,7732748.0,75600.0,87.5,0.0,14.0,3.857142857142857,0.0,,,,
2022-02-06,7732650.0,86400.0,100.0,0.0,11.0,4.916666666666667,0.0,,,,
2022-02-17,10348761.0,75600.0,87.5,0.0,5.0,1.0,0.0,,,,
