begintime,sk_object,duration,integrity,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-18,21317.0,1380.0,95.83333333333333,67520.0,3318.0,0.0,4416.0,0.0,0.0,0.0,3856.0,0.0
2022-03-12,21332.0,1440.0,100.0,779.0,376.0,0.0,109.0,0.0,0.0,0.0,150.0,0.0
2022-03-15,21337.0,1440.0,100.0,14053.0,425.0,0.0,492.0,0.0,0.0,0.0,497.0,0.0
2022-03-19,21394.0,1311.0,91.04166666666667,15114.0,430.0,0.0,393.0,0.0,0.0,0.0,360.0,0.0
2022-03-11,21319.0,1440.0,100.0,1224.0,112.0,0.0,50.0,0.0,0.0,0.0,79.0,0.0
2022-03-12,21359.0,1440.0,100.0,6116.0,323.0,0.0,522.0,0.0,0.0,0.0,1602.0,0.0
2022-03-16,21340.0,1440.0,100.0,6007.0,334.0,0.0,417.0,0.0,0.0,0.0,917.0,0.0
2022-03-14,21364.0,1440.0,100.0,5872.0,270.0,0.0,275.0,0.0,0.0,0.0,225.0,0.0
2022-03-17,21349.0,1380.0,95.83333333333333,1351.0,60.0,0.0,69.0,0.0,0.0,0.0,251.0,0.0
2022-03-18,21335.0,1380.0,95.83333333333333,27736.0,1295.0,0.0,2149.0,0.0,0.0,0.0,5159.0,0.0
2022-03-13,21392.0,1440.0,100.0,13976.0,2904.0,0.0,2708.0,0.0,0.0,0.0,1508.0,0.0
2022-03-11,21372.0,1440.0,100.0,11222.0,2407.0,0.0,2054.0,0.0,0.0,0.0,904.0,0.0
2022-03-15,21334.0,1378.0,95.69444444444444,2423.0,627.0,0.0,546.0,0.0,0.0,0.0,285.0,0.0
2022-03-16,21359.0,1440.0,100.0,6202.0,352.0,0.0,442.0,0.0,0.0,0.0,1429.0,0.0
2022-03-17,21305.0,1380.0,95.83333333333333,9722.0,357.0,0.0,741.0,0.0,0.0,0.0,1389.0,0.0
2022-03-15,21375.0,1440.0,100.0,3659.0,300.0,0.0,136.0,0.0,0.0,0.0,185.0,0.0
2022-03-16,21326.0,1440.0,100.0,15455.0,848.0,0.0,1166.0,0.0,0.0,0.0,2393.0,0.0
2022-03-13,21359.0,1440.0,100.0,7369.0,330.0,0.0,611.0,0.0,0.0,0.0,1653.0,0.0
2022-03-13,21346.0,1440.0,100.0,3038.0,1527.0,0.0,594.0,0.0,0.0,0.0,382.0,0.0
2022-03-19,21305.0,1380.0,95.83333333333333,9025.0,457.0,0.0,641.0,0.0,0.0,0.0,1394.0,0.0
2022-03-13,21309.0,1440.0,100.0,8653.0,3708.0,0.0,1950.0,0.0,0.0,0.0,937.0,0.0
2022-03-15,21308.0,1440.0,100.0,1659.0,1062.0,0.0,525.0,0.0,0.0,0.0,183.0,0.0
2022-03-14,21343.0,1440.0,100.0,17232.0,587.0,0.0,1101.0,0.0,0.0,0.0,2388.0,0.0
2022-03-13,21353.0,1440.0,100.0,9925.0,719.0,0.0,754.0,0.0,0.0,0.0,339.0,0.0
2022-03-12,21334.0,1402.0,97.36111111111111,3335.0,1070.0,0.0,1108.0,0.0,0.0,0.0,310.0,0.0
