begintime,ne_name,sk_object,ne_type,vendor,integrity,HU LTE_DL Traffic(GB),id
2024-03-01,"4G_CLINETOWN/Cell:eNodeB Function Name=4G_CLINETOWN,Local Cell ID=8,Cell Name=4G_CLINETOWN-8,eNodeB ID=5029,Cell FDD TDD indication=CELL_FDD",809189.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,44.3584,67
2024-03-01,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=1,Cell Name=4G_COLEFARM_II-1,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",808929.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,52.4869,68
2024-03-01,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=2,Cell Name=4G_COLEFARM_II-2,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",808845.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,52.7618,69
2024-03-01,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=3,Cell Name=4G_COLEFARM_II-3,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809119.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,20.6444,70
2024-03-01,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=6,Cell Name=4G_COLEFARM_II-6,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809051.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,84.9495,71
2024-03-01,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=7,Cell Name=4G_COLEFARM_II-7,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",809172.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,95.0027,72
2024-03-01,"4G_COLEFARM_II/Cell:eNodeB Function Name=4G_COLEFARM_II,Local Cell ID=8,Cell Name=4G_COLEFARM_II-8,eNodeB ID=5008,Cell FDD TDD indication=CELL_FDD",808769.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,88.1721,73
2024-03-01,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=1,Cell Name=4G_COLLEGIATESCHOOL_II-1,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",808799.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,89.8955,74
2024-03-01,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=2,Cell Name=4G_COLLEGIATESCHOOL_II-2,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",809171.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,42.3453,75
2024-03-01,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=3,Cell Name=4G_COLLEGIATESCHOOL_II-3,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",808732.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,86.3537,76
2024-03-01,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=6,Cell Name=4G_COLLEGIATESCHOOL_II-6,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",808889.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,148.4941,77
2024-03-01,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=7,Cell Name=4G_COLLEGIATESCHOOL_II-7,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",808915.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,173.7953,78
2024-03-01,"4G_COLLEGIATESCHOOL_II/Cell:eNodeB Function Name=4G_COLLEGIATESCHOOL_II,Local Cell ID=8,Cell Name=4G_COLLEGIATESCHOOL_II-8,eNodeB ID=5017,Cell FDD TDD indication=CELL_FDD",817451.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,82.8726,79
2024-03-01,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=1,Cell Name=4G_CONGOTOWN-1,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",809181.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,50.1561,80
2024-03-01,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=2,Cell Name=4G_CONGOTOWN-2,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",809155.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,63.4426,81
2024-03-01,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=3,Cell Name=4G_CONGOTOWN-3,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808691.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,67.2912,82
2024-03-01,"4G_CONGOTOWN/Cell:eNodeB Function Name=4G_CONGOTOWN,Local Cell ID=6,Cell Name=4G_CONGOTOWN-6,eNodeB ID=5007,Cell FDD TDD indication=CELL_FDD",808766.0,eNodeB(4G) : Measurement of Cell Performance,Huawei,100.0,60.2643,83
