begintime,sk_object,duration,integrity,M51361C0,M51361C1,M51361C2,M51361C3,M51361C4
2022-03-11 19:00:00,15735.0,60.0,100.0,57435.0,-1098.0,-723.5,-289.0,3600.0
2022-03-12 08:00:00,15730.0,60.0,100.0,37143.0,-38013.0,16637.25,93609.0,3337.0
2022-03-11 00:00:00,15733.0,60.0,100.0,57595.0,-6221.0,4718.0,22095.0,3600.0
2022-03-11 03:00:00,15743.0,60.0,100.0,57600.0,-92.0,36.75,75.0,3600.0
2022-03-12 03:00:00,15737.0,60.0,100.0,57597.0,-142.0,-68.75,44.0,3600.0
2022-03-11 16:00:00,15733.0,60.0,100.0,57600.0,-81.0,54.75,125.0,3600.0
2022-03-11 03:00:00,15736.0,60.0,100.0,57600.0,-159.0,-117.0,-80.0,3600.0
2022-03-12 10:00:00,15743.0,60.0,100.0,57592.0,346.0,404.25,447.0,3600.0
2022-03-12 06:00:00,15734.0,60.0,100.0,57597.0,-85.0,-49.25,-24.0,3600.0
2022-03-11 01:00:00,15737.0,60.0,100.0,57599.0,-9973.0,-4049.0,307.0,3600.0
2022-03-12 09:00:00,15745.0,60.0,100.0,57600.0,23.0,96.75,158.0,3600.0
2022-03-11 02:00:00,15742.0,60.0,100.0,57572.0,-6063.0,-3196.0,-218.0,3600.0
2022-03-11 03:00:00,15741.0,60.0,100.0,57599.0,-250.0,-100.25,-27.0,3600.0
2022-03-11 06:00:00,15735.0,60.0,100.0,57595.0,-1391.0,-498.75,1192.0,3600.0
2022-03-12 05:00:00,15734.0,60.0,100.0,57584.0,-125.0,-33.25,49.0,3600.0
2022-03-11 11:00:00,15747.0,60.0,100.0,57599.0,-13.0,9.5,83.0,3600.0
2022-03-11 16:00:00,15747.0,60.0,100.0,57600.0,-120.0,-52.5,-2.0,3600.0
2022-03-11 00:00:00,15731.0,60.0,100.0,57598.0,-1290.0,9970.5,27175.0,3599.0
2022-03-11 18:00:00,15729.0,60.0,100.0,57587.0,-37.0,-2.75,37.0,3600.0
2022-03-11 15:00:00,15729.0,60.0,100.0,57599.0,13.0,43.5,71.0,3600.0
2022-03-11 16:00:00,15731.0,60.0,100.0,57596.0,-105.0,-2.0,106.0,3600.0
2022-03-12 01:00:00,15735.0,60.0,100.0,57600.0,-10909.0,-7481.25,-2065.0,3600.0
2022-03-11 05:00:00,15742.0,60.0,100.0,57597.0,-3092.0,-152.75,2062.0,3600.0
2022-03-11 16:00:00,15735.0,60.0,100.0,57600.0,-405.0,-175.5,200.0,3600.0
2022-03-11 13:00:00,15743.0,60.0,100.0,57588.0,53.0,112.5,174.0,3600.0
2022-03-11 05:00:00,15729.0,60.0,100.0,57600.0,-24.0,-10.0,19.0,3600.0
2022-03-12 04:00:00,15736.0,60.0,100.0,57600.0,-3174.0,-1461.75,-468.0,3600.0
2022-03-11 04:00:00,15742.0,60.0,100.0,57598.0,-1832.0,423.25,1710.0,3600.0
2022-03-12 06:00:00,15743.0,60.0,100.0,57599.0,15.0,63.5,118.0,3600.0
2022-03-11 21:00:00,15747.0,60.0,100.0,57600.0,-92.0,-60.5,-5.0,3600.0
2022-03-12 01:00:00,15743.0,60.0,100.0,57597.0,-169.0,-123.75,-78.0,3600.0
2022-03-12 00:00:00,15739.0,60.0,100.0,57600.0,-399.0,-240.25,-8.0,3600.0
2022-03-11 02:00:00,15746.0,60.0,100.0,57600.0,-1869.0,-902.0,54.0,3600.0
2022-03-11 13:00:00,15741.0,60.0,100.0,57600.0,-86.0,-16.75,84.0,3600.0
2022-03-11 11:00:00,15746.0,60.0,100.0,57598.0,554.0,1193.75,3481.0,3600.0
2022-03-12 06:00:00,15742.0,60.0,100.0,57561.0,-855.0,981.25,2877.0,3600.0
2022-03-12 10:00:00,15740.0,60.0,100.0,45960.0,-78318.0,-11559.75,8952.0,3401.0
2022-03-11 16:00:00,15744.0,60.0,100.0,57598.0,-42.0,-13.0,22.0,3600.0
2022-03-11 17:00:00,15747.0,60.0,100.0,57600.0,-46.0,44.0,95.0,3600.0
2022-03-11 02:00:00,15731.0,60.0,100.0,57599.0,-172.0,-118.75,-73.0,3600.0
2022-03-11 08:00:00,15729.0,60.0,100.0,57590.0,-173.0,-121.5,-91.0,3600.0
2022-03-11 06:00:00,15729.0,60.0,100.0,57600.0,-22.0,-6.75,11.0,3600.0
2022-03-11 02:00:00,15738.0,60.0,100.0,57600.0,-22.0,-4.25,7.0,3600.0
2022-03-11 10:00:00,15744.0,60.0,100.0,57589.0,316.0,473.0,654.0,3600.0
2022-03-12 04:00:00,15741.0,60.0,100.0,57600.0,-7.0,19.5,38.0,3600.0
2022-03-11 14:00:00,15745.0,60.0,100.0,57596.0,-58.0,71.5,151.0,3600.0
2022-03-11 15:00:00,15741.0,60.0,100.0,57599.0,-62.0,24.25,109.0,3600.0
2022-03-11 20:00:00,15739.0,60.0,100.0,57500.0,-548.0,-397.5,-239.0,3600.0
2022-03-11 06:00:00,15742.0,60.0,100.0,57398.0,-3089.0,-1160.5,2062.0,3600.0
2022-03-12 05:00:00,15740.0,60.0,100.0,36479.0,-39786.0,-7221.25,211.0,2880.0
2022-03-11 11:00:00,15742.0,60.0,100.0,56480.0,272.0,356.5,413.0,3600.0
2022-03-11 13:00:00,15731.0,60.0,100.0,57599.0,-30.0,43.5,115.0,3600.0
2022-03-11 09:00:00,15735.0,60.0,100.0,57600.0,-981.0,-401.25,-46.0,3600.0
2022-03-11 06:00:00,15730.0,60.0,100.0,57565.0,-2208.0,-1113.0,941.0,3600.0
2022-03-12 02:00:00,15733.0,60.0,100.0,57600.0,-627.0,-388.25,-233.0,3600.0
2022-03-11 08:00:00,15735.0,60.0,100.0,57600.0,-981.0,484.0,842.0,3600.0
2022-03-11 23:00:00,15730.0,60.0,100.0,55952.0,-178202.0,-24202.25,47426.0,3600.0
2022-03-11 18:00:00,15739.0,60.0,100.0,57600.0,-577.0,-470.75,-326.0,3600.0
2022-03-12 08:00:00,15737.0,60.0,100.0,56364.0,-4782.0,-1316.75,1525.0,3600.0
2022-03-11 09:00:00,15738.0,60.0,100.0,57598.0,-18.0,-4.5,12.0,3600.0
2022-03-11 15:00:00,15730.0,60.0,100.0,52141.0,-10648.0,-2709.75,339.0,3597.0
2022-03-12 05:00:00,15735.0,60.0,100.0,24560.0,-56358.0,-6088.25,0.0,2623.0
2022-03-12 03:00:00,15742.0,60.0,100.0,57600.0,-552.0,-285.5,-139.0,3600.0
2022-03-11 04:00:00,15746.0,60.0,100.0,57600.0,-3012.0,92.0,824.0,3600.0
2022-03-11 17:00:00,15738.0,60.0,100.0,57598.0,-44.0,-2.0,31.0,3600.0
2022-03-11 07:00:00,15736.0,60.0,100.0,57600.0,-104.0,-78.0,-53.0,3600.0
2022-03-11 23:00:00,15733.0,60.0,100.0,57335.0,4061.0,11001.75,19616.0,3600.0
2022-03-11 14:00:00,15731.0,60.0,100.0,57600.0,-77.0,25.0,115.0,3600.0
2022-03-11 05:00:00,15735.0,60.0,100.0,57600.0,-1632.0,-206.0,1192.0,3600.0
2022-03-11 03:00:00,15729.0,60.0,100.0,57598.0,-71.0,-25.0,50.0,3600.0
2022-03-12 02:00:00,15746.0,60.0,100.0,24989.0,-72934.0,-23585.0,5350.0,3514.0
2022-03-11 20:00:00,15741.0,60.0,100.0,55531.0,-6388.0,-4529.75,-206.0,3600.0
2022-03-11 05:00:00,15731.0,60.0,100.0,57600.0,-179.0,-61.5,35.0,3600.0
2022-03-11 01:00:00,15747.0,60.0,100.0,57601.0,-15.0,28.0,73.0,3600.0
