begintime,sk_object,duration,integrity,1282423987,1282423988
2022-03-02 18:00:00,630581.0,3600.0,100.0,14.17,13.465
2022-02-05 01:00:00,630581.0,3600.0,100.0,2.319,2.004
2022-03-03 09:00:00,630566.0,3600.0,100.0,13.996,13.464
2022-03-07 04:00:00,630581.0,3600.0,100.0,1.371,1.217
2022-02-10 13:00:00,630581.0,3600.0,100.0,11.915,11.288
2022-03-12 12:00:00,630581.0,3600.0,100.0,12.118,11.528
2022-02-11 21:00:00,630581.0,3600.0,100.0,16.861,16.504
2022-03-10 11:00:00,630566.0,3600.0,100.0,12.882,12.28
2022-03-07 20:00:00,630566.0,3600.0,100.0,19.774,19.334
2022-02-11 23:00:00,630582.0,3600.0,100.0,6.387,5.926
2022-02-08 12:00:00,630581.0,3600.0,100.0,12.536,11.892
2022-02-04 10:00:00,630567.0,3600.0,100.0,13.977,13.512
2022-02-05 07:00:00,630581.0,3600.0,100.0,7.807,7.52
2022-03-14 03:00:00,630566.0,3600.0,100.0,1.32,1.121
2022-02-19 08:00:00,630566.0,3600.0,100.0,12.616,12.179
2022-02-04 20:00:00,630582.0,3600.0,100.0,19.502,19.184
2022-03-03 05:00:00,630567.0,3600.0,100.0,1.964,1.753
2022-03-07 12:00:00,630566.0,3600.0,100.0,13.09,12.525
2022-03-14 23:00:00,630566.0,3600.0,100.0,4.931,4.582
2022-02-05 11:00:00,630566.0,3600.0,100.0,12.953,12.458
2022-03-07 22:00:00,630581.0,3600.0,100.0,11.376,10.994
2022-03-15 16:00:00,630567.0,3600.0,100.0,11.19,10.707
2022-02-13 20:00:00,630582.0,3600.0,100.0,19.074,18.694
2022-02-04 21:00:00,630566.0,3600.0,100.0,16.417,16.098
2022-03-11 16:00:00,630567.0,3600.0,100.0,12.656,12.005
2022-02-10 10:00:00,630566.0,3600.0,100.0,13.301,12.751
2022-03-03 21:00:00,630567.0,3600.0,100.0,16.467,16.074
2022-03-07 01:00:00,630581.0,3600.0,100.0,1.964,1.714
2022-03-02 10:00:00,630567.0,3600.0,100.0,13.492,12.976
2022-02-20 09:00:00,630581.0,3600.0,100.0,12.38,11.951
2022-03-11 01:00:00,630582.0,3600.0,100.0,2.176,1.903
2022-02-12 16:00:00,630566.0,3600.0,100.0,12.161,11.533
2022-02-10 12:00:00,630566.0,3600.0,100.0,12.719,12.115
2022-02-05 14:00:00,630582.0,3600.0,100.0,12.274,11.713
2022-02-03 11:00:00,630582.0,3600.0,100.0,13.096,12.525
2022-03-13 16:00:00,630566.0,3600.0,100.0,11.532,10.941
2022-03-15 09:00:00,630582.0,3600.0,100.0,12.835,12.473
2022-02-12 18:00:00,630566.0,3600.0,100.0,14.034,13.311
2022-02-03 16:00:00,630582.0,3600.0,100.0,12.564,11.947
2022-03-07 23:00:00,630566.0,3600.0,100.0,6.322,5.953
2022-02-06 05:00:00,630566.0,3600.0,100.0,1.844,1.653
2022-02-18 23:00:00,630566.0,3600.0,100.0,5.919,5.465
2022-02-03 08:00:00,630566.0,3600.0,100.0,12.385,11.942
2022-02-06 16:00:00,630566.0,3600.0,100.0,12.703,12.061
2022-03-14 14:00:00,630567.0,3600.0,100.0,10.407,9.941
2022-02-18 20:00:00,630566.0,3600.0,100.0,19.143,18.72
2022-02-08 05:00:00,630566.0,3600.0,100.0,1.929,1.73
2022-03-03 14:00:00,630566.0,3600.0,100.0,12.209,11.571
2022-02-18 19:00:00,630582.0,3600.0,100.0,17.508,16.91
2022-03-12 15:00:00,630567.0,3600.0,100.0,11.437,10.826
2022-02-06 09:00:00,630566.0,3600.0,100.0,12.545,12.152
2022-02-12 17:00:00,630582.0,3600.0,100.0,13.08,12.395
2022-03-14 19:00:00,630567.0,3600.0,100.0,15.192,14.79
2022-03-11 07:00:00,630567.0,3600.0,100.0,9.631,9.229
2022-02-19 22:00:00,630581.0,3600.0,100.0,11.622,11.219
2022-03-11 19:00:00,630581.0,3600.0,100.0,17.2,16.641
2022-03-01 23:00:00,630582.0,3600.0,100.0,5.859,5.475
2022-02-10 19:00:00,630567.0,3600.0,100.0,17.034,16.54
2022-02-12 23:00:00,630567.0,3600.0,100.0,6.647,6.177
2022-03-02 16:00:00,630582.0,3600.0,100.0,12.324,11.668
2022-02-08 05:00:00,630582.0,3600.0,100.0,1.928,1.731
2022-02-04 18:00:00,630567.0,3600.0,100.0,14.625,13.981
2022-03-06 03:00:00,630567.0,3600.0,100.0,1.587,1.356
2022-03-14 10:00:00,630581.0,3600.0,100.0,12.177,11.731
2022-02-06 22:00:00,630582.0,3600.0,100.0,11.792,11.331
2022-03-02 07:00:00,630581.0,3600.0,100.0,9.148,8.806
2022-02-05 05:00:00,630581.0,3600.0,100.0,1.948,1.751
2022-03-14 22:00:00,630582.0,3600.0,100.0,9.878,9.53
2022-03-03 22:00:00,630581.0,3600.0,100.0,10.556,10.06
2022-03-11 01:00:00,630581.0,3600.0,100.0,2.175,1.9
2022-03-10 22:00:00,630582.0,3600.0,100.0,11.511,11.118
2022-02-13 22:00:00,630582.0,3600.0,100.0,11.275,10.799
2022-02-05 10:00:00,630581.0,3600.0,100.0,13.328,12.914
2022-02-04 05:00:00,630566.0,3600.0,100.0,2.076,1.855
2022-03-13 11:00:00,630566.0,3600.0,100.0,11.018,10.56
2022-03-11 19:00:00,630566.0,3600.0,100.0,17.201,16.633
2022-03-01 20:00:00,630566.0,3600.0,100.0,19.257,18.891
2022-02-05 23:00:00,630581.0,3600.0,100.0,6.397,5.946
2022-03-09 23:00:00,630566.0,3600.0,100.0,6.728,6.242
2022-03-03 06:00:00,630582.0,3600.0,100.0,3.85,3.544
2022-02-12 19:00:00,630582.0,3600.0,100.0,17.628,17.02
2022-02-06 14:00:00,630567.0,3600.0,100.0,12.5,11.895
2022-03-02 10:00:00,630581.0,3600.0,100.0,13.495,12.974
2022-02-12 04:00:00,630567.0,3600.0,100.0,1.561,1.383
2022-02-17 11:00:00,630566.0,3600.0,100.0,13.155,12.588
2022-03-01 12:00:00,630566.0,3600.0,100.0,12.779,12.174
2022-02-03 20:00:00,630582.0,3600.0,100.0,18.385,18.018
2022-02-12 12:00:00,630566.0,3600.0,100.0,12.99,12.325
2022-02-19 20:00:00,630582.0,3600.0,100.0,19.057,18.683
2022-02-04 22:00:00,630566.0,3600.0,100.0,10.775,10.325
2022-02-03 17:00:00,630567.0,3600.0,100.0,12.986,12.349
2022-03-06 09:00:00,630567.0,3600.0,100.0,13.103,12.67
2022-02-04 16:00:00,630582.0,3600.0,100.0,12.851,12.226
2022-03-01 17:00:00,630567.0,3600.0,100.0,12.668,12.08
2022-03-10 18:00:00,630566.0,3600.0,100.0,13.667,12.974
2022-02-20 06:00:00,630567.0,3600.0,100.0,3.005,2.772
2022-03-03 00:00:00,630581.0,3600.0,100.0,3.35,2.983
2022-03-13 04:00:00,630566.0,3600.0,100.0,1.485,1.287
2022-02-04 02:00:00,630582.0,3600.0,100.0,1.621,1.364
2022-03-11 12:00:00,630582.0,3600.0,100.0,12.284,11.683
2022-02-18 04:00:00,630582.0,3600.0,100.0,1.532,1.357
