NE Name,fdn,BSCFLAG,CICNO,DPCGIDX,MOIndex,OPCIDX,OPMODE,PN,SN,SRN,STCIC,TSN,TSTYPE,className,name,neID
FTBSC02,"NE=280,AE1T1=7_14_0_18",MAINBSC,242,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,18,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_19",MAINBSC,243,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,19,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_20",MAINBSC,244,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,20,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_21",MAINBSC,245,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,21,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_22",MAINBSC,246,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,22,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_23",MAINBSC,247,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,23,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_24",MAINBSC,248,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,24,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_25",MAINBSC,249,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,25,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_26",MAINBSC,250,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,26,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
FTBSC02,"NE=280,AE1T1=7_14_0_27",MAINBSC,251,0,26_0_14_7,0,MODSGLCIC,7,14,0,224,27,CIC,BSC6900GSMAE1T1,"Subrack No.=0, Slot No.=14, Port No.=7,DPC Group index=0",26
