begintime,sk_object,50332573,50332574,50342574,50342575,50342635,50342636,duration
2022-03-01 00:00:00,889277.0,512.0,78.221,46.5,135.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889278.0,1024.0,120.242,91.0,178.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889279.0,512.0,50.5,27.5,77.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889280.0,1024.0,73.162,44.0,127.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889281.0,1024.0,85.208,57.0,123.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889282.0,1024.0,26.65,18.0,65.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889283.0,1024.0,125.512,99.0,192.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889285.0,512.0,82.308,56.0,117.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889286.0,1024.0,57.1,36.5,84.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889287.0,1024.0,134.587,98.0,198.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889289.0,512.0,77.258,47.5,107.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889290.0,1024.0,42.029,29.5,61.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889291.0,512.0,68.458,48.5,106.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889292.0,256.0,31.517,18.0,46.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889293.0,1024.0,94.483,69.5,143.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889294.0,1024.0,163.087,126.0,297.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889295.0,1024.0,75.713,43.5,139.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889296.0,512.0,18.958,9.5,50.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889297.0,1024.0,65.533,46.5,108.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889298.0,512.0,44.092,28.0,113.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889299.0,512.0,6.471,0.0,22.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889300.0,512.0,80.121,59.0,125.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889301.0,1024.0,87.417,61.0,141.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889302.0,512.0,83.896,58.0,152.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889303.0,1024.0,113.575,80.5,203.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889305.0,1024.0,59.3,36.5,103.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889306.0,1024.0,8.8,1.0,18.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889307.0,1024.0,3.758,0.5,27.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889308.0,1024.0,50.475,30.0,93.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889309.0,512.0,38.579,20.5,58.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889310.0,256.0,13.496,5.5,21.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889311.0,512.0,16.612,8.5,26.5,0.0,0.0,PT3600S
2022-03-01 00:00:00,889312.0,512.0,57.929,0.0,103.0,0.0,0.0,PT3600S
2022-03-01 00:00:00,889313.0,256.0,16.05,8.0,27.0,0.0,0.0,PT3600S
