begintime,sk_object,duration,integrity,M8910C0,M8910C1,M8910C2,M8910C3,M8910C4,M8910C5,M8910C6,M8910C7,M8910C8,M8910C9,M8910C10,M8910C11,M8910C12,M8910C13,M8910C14,M8910C15,M8910C16,M8910C17,M8910C18,M8910C19,M8910C20,M8910C21,M8910C22,M8910C23,M8910C24,M8910C25,M8910C26,M8910C27,M8910C28,M8910C29
2024-03-15,6612.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,28300512.0,6063.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-17,6582.0,7.0,0.4861111111111111,0.0,0.0,25000.0,6.0,405384.0,3111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-17,6602.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,563053344.0,27072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-17,6585.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,2167376.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6583.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,217887968.0,42177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-12,6590.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,3057798080.0,316576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-08,6610.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,1225008.0,1872.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-11,6592.0,13.0,0.9027777777777778,0.0,0.0,68384.0,163.0,2357254912.0,1159000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-10,6600.0,16.0,1.1111111111111112,0.0,0.0,700032.0,4659.0,2102151368.0,506554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-12,6595.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,289636880.0,12925.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-11,6612.0,13.0,0.9027777777777778,0.0,0.0,406528.0,118.0,813508824.0,367681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-19,87809.0,4.0,0.2777777777777778,0.0,0.0,0.0,0.0,678048504.0,100110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-15,6600.0,2.0,0.1388888888888889,0.0,0.0,0.0,0.0,326562488.0,55569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-26,6609.0,6.0,0.4166666666666667,0.0,0.0,0.0,0.0,1718112.0,5752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-12,6616.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,142885192.0,6307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2024-03-26,6578.0,5.0,0.3472222222222222,0.0,0.0,0.0,0.0,512064040.0,59898.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
