begintime,ne_name,ne_type,vendor,integrity,PDCP_SDU_DELAY_UL_DTCH_MIN,MEAN_PRB_AVAIL_PUSCH,RSSI_PUCCH_MAX,UL_IOT_PUSCH_DIST_BIN_3,id
2022-10,"MRBTS-5085,LNBTS-5085,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-60.0,,65
2022-10,"MRBTS-5085,LNBTS-5085,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-54.0,,66
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,43.528,-54.0,,67
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-77.0,,68
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,43.128,-68.0,,69
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-72.0,,70
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,42.865,-74.0,,71
2022-10,"MRBTS-5086,LNBTS-5086,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-79.0,,72
2022-10,"MRBTS-5089,LNBTS-5089,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-64.0,,73
2022-10,"MRBTS-5089,LNBTS-5089,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-50.0,,74
2022-10,"MRBTS-5089,LNBTS-5089,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,43.997,-61.0,,75
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,43.156,-65.0,,76
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-67.0,,77
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,42.083,-64.0,,78
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,43.99,-68.0,,79
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,42.042,-57.0,,80
2022-10,"MRBTS-5090,LNBTS-5090,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,43.538,-59.0,,81
2022-10,"MRBTS-5091,LNBTS-5091,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-72.0,,82
2022-10,"MRBTS-5091,LNBTS-5091,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-54.0,,83
2022-10,"MRBTS-5091,LNBTS-5091,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-57.0,,84
2022-10,"MRBTS-5102,LNBTS-5102,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-54.0,,85
2022-10,"MRBTS-5102,LNBTS-5102,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-65.0,,86
2022-10,"MRBTS-5102,LNBTS-5102,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,100.0,0.0,44.0,-50.0,,87
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,0.0,42.24,-55.0,,88
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,0.0,43.959,-61.0,,89
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,0.0,42.259,-53.0,,90
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,0.0,43.71,-52.0,,91
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,0.0,42.514,-50.0,,92
2022-10,"MRBTS-5200,LNBTS-5200,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,56.43,0.0,43.487,-60.0,,93
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,42.052,-51.0,,94
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,43.608,-53.0,,95
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,42.234,-44.0,,96
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,43.8,-52.0,,97
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,42.148,-53.0,,98
2022-11,"MRBTS-5023,LNBTS-5023,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,43.93,-56.0,,99
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,0.0,42.23,-44.0,,100
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,0.0,43.499,-53.0,,101
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,0.0,42.285,-43.0,,102
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,0.0,43.827,-56.0,,103
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,0.0,42.509,-45.0,,104
2022-11,"MRBTS-5044,LNBTS-5044,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.57,0.0,43.605,-49.0,,105
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,0.0,42.508,-47.0,,106
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,0.0,43.988,-52.0,,107
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,0.0,42.527,-59.0,,108
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,0.0,44.0,-63.0,,109
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,0.0,42.409,-57.0,,110
2022-11,"MRBTS-5045,LNBTS-5045,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,84.36,0.0,43.781,-64.0,,111
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,0.0,43.327,-53.0,,112
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,0.0,44.0,-59.0,,113
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,0.0,42.723,-59.0,,114
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,0.0,43.988,-59.0,,115
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,0.0,43.122,-54.0,,116
2022-11,"MRBTS-5050,LNBTS-5050,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,81.22,0.0,43.989,-62.0,,117
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,0.0,42.369,-62.0,,118
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,0.0,44.0,-58.0,,119
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,0.0,43.709,-47.0,,120
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,0.0,43.998,-64.0,,121
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,0.0,43.303,-43.0,,122
2022-11,"MRBTS-5062,LNBTS-5062,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.61,0.0,44.0,-64.0,,123
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,42.099,-50.0,,124
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-11,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,43.722,-55.0,,125
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-2,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,42.467,-59.0,,126
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-21,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,43.998,-49.0,,127
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-3,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,42.543,-53.0,,128
2022-11,"MRBTS-5078,LNBTS-5078,LNCEL-31,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,98.51,0.0,43.941,-53.0,,129
2022-11,"MRBTS-5079,LNBTS-5079,LNCEL-1,MCC-619,MNC-05","4G : PLMN-MRBTS-LNBTS-LNCEL, MCC-MNC",Nokia,83.25,0.0,42.226,-59.0,,130
