begintime,object,UL Traffic Volume (GB),DL Traffic Volume (GB)
2022-02-02 01:00:00,3G_COLEFARM_II-41,0.013792583,0.131191919
2022-02-02 01:00:00,3G_COLEFARM_II-42,0.039138537,0.502465427
2022-02-02 01:00:00,3G_COLEFARM_II-43,0.026240799,0.594851132
2022-02-02 01:00:00,3G_COLEFARM_II-44,0.016262911,0.083984922
2022-02-02 01:00:00,3G_COLEFARM_II-51,0.062338128,0.654949263
2022-02-02 01:00:00,3G_COLEFARM_II-52,0.065636223,0.496733463
2022-02-02 01:00:00,3G_COLEFARM_II-53,0.041456736,0.207212155
2022-02-02 01:00:00,3G_COLEFARM_II-54,0.02490507,0.275292408
2022-02-02 01:00:00,3G_COLEFARM_II-61,0.007275956,0.061061637
2022-02-02 01:00:00,3G_COLEFARM_II-62,0.012990544,0.108836009
2022-02-02 01:00:00,3G_COLEFARM_II-63,0.002522997,0.021726994
2022-02-02 01:00:00,3G_COLEFARM_II-64,0.00658062,0.083914971
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-11,0.035851954,0.236255237
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-12,0.051643152,0.276309162
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-13,0.025605934,0.222126218
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-14,0.013132936,0.09876963
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-21,0.147119637,0.649749135
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-22,0.263617977,0.388348617
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-23,0.049976842,0.40353555
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-24,0.03108059,0.171243626
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-31,0.032888255,0.278159755
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-32,0.024153095,0.337968186
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-33,0.045250458,0.610892702
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-34,0.02384422,0.177747562
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-41,0.048053055,0.162224842
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-42,0.022871449,0.181443063
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-43,0.003105304,0.018007885
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-44,0.0034838,0.031233181
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-51,0.026142039,0.369311997
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-52,0.030312301,0.585358571
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-53,0.021793607,0.049358754
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-54,0.033008791,0.32141932
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-61,0.119248807,0.518407309
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-62,0.064083463,0.666821532
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-63,0.013790415,0.080743843
2022-02-02 01:00:00,3G_COLLEGIATESCHOOL_II-64,0.065657888,0.470810193
2022-02-02 01:00:00,3G_CONGOTOWN-11,0.647487001,1.316646857
2022-02-02 01:00:00,3G_CONGOTOWN-12,0.165822297,1.474161863
2022-02-02 01:00:00,3G_CONGOTOWN-13,0.12249333,1.054260192
2022-02-02 01:00:00,3G_CONGOTOWN-14,0.186995461,1.349181575
2022-02-02 01:00:00,3G_CONGOTOWN-21,0.128240063,0.579246525
2022-02-02 01:00:00,3G_CONGOTOWN-22,0.106557601,0.959743705
2022-02-02 01:00:00,3G_CONGOTOWN-23,0.028333558,0.347778329
2022-02-02 01:00:00,3G_CONGOTOWN-24,0.031090641,0.210318321
2022-02-02 01:00:00,3G_CONGOTOWN-31,0.110065979,0.510170308
2022-02-02 01:00:00,3G_CONGOTOWN-32,0.051705146,0.438364291
2022-02-02 01:00:00,3G_CONGOTOWN-33,0.045569599,0.369153836
2022-02-02 01:00:00,3G_CONGOTOWN-34,0.034325559,0.331065919
2022-02-02 01:00:00,3G_CONGOTOWN-41,0.059196327,0.371167285
2022-02-02 01:00:00,3G_CONGOTOWN-42,0.03704829,0.234089768
2022-02-02 01:00:00,3G_CONGOTOWN-43,0.022742495,0.308693102
2022-02-02 01:00:00,3G_CONGOTOWN-44,0.025472866,0.150585594
2022-02-02 01:00:00,3G_DANSTREET-11,0.008062423,0.121233183
2022-02-02 01:00:00,3G_DANSTREET-12,0.015518102,0.19680068
2022-02-02 01:00:00,3G_DANSTREET-13,0.03358095,0.301085749
2022-02-02 01:00:00,3G_DANSTREET-14,0.004034029,0.026826178
2022-02-02 01:00:00,3G_DANSTREET-21,0.004759453,0.011708397
2022-02-02 01:00:00,3G_DANSTREET-22,0.001798861,0.012236669
2022-02-02 01:00:00,3G_DANSTREET-23,0.00278193,0.008173756
2022-02-02 01:00:00,3G_DANSTREET-24,0.003312446,0.008092367
2022-02-02 01:00:00,3G_DANSTREET-31,0.042616349,0.389462911
2022-02-02 01:00:00,3G_DANSTREET-32,0.036514564,0.092310638
2022-02-02 01:00:00,3G_DANSTREET-33,0.021923392,0.133760667
2022-02-02 01:00:00,3G_DANSTREET-34,0.005237283,0.091035891
2022-02-02 01:00:00,3G_DANSTREET-41,0.012675758,0.069243174
2022-02-02 01:00:00,3G_DANSTREET-42,0.043747942,0.359568616
2022-02-02 01:00:00,3G_DANSTREET-43,0.0091702,0.047826546
2022-02-02 01:00:00,3G_DANSTREET-44,0.008903784,0.06611431
2022-02-02 01:00:00,3G_DANSTREET-51,0.051614417,0.154779603
2022-02-02 01:00:00,3G_DANSTREET-52,0.023155708,0.120366376
2022-02-02 01:00:00,3G_DANSTREET-53,0.048102619,0.2396417
2022-02-02 01:00:00,3G_DANSTREET-54,0.006247803,0.018581053
2022-02-02 01:00:00,3G_DANSTREET-61,0.089165044,0.735472173
2022-02-02 01:00:00,3G_DANSTREET-62,0.107540887,0.454137724
2022-02-02 01:00:00,3G_DANSTREET-63,0.057721327,0.620736603
2022-02-02 01:00:00,3G_DANSTREET-64,0.030050902,0.447444061
