begintime,sk_object,duration,M8073C0
2022-03-12 19:00:00,22650.0,15,6.0
2022-03-11 21:00:00,22654.0,15,0.0
2022-03-11 16:00:00,22690.0,15,0.0
2022-03-14 06:30:00,22670.0,15,0.0
2022-03-14 08:45:00,22638.0,15,0.0
2022-03-11 12:30:00,22678.0,15,0.0
2022-03-14 20:45:00,22683.0,15,6.0
2022-03-13 16:45:00,22625.0,15,0.0
2022-03-12 15:45:00,22653.0,15,0.0
2022-03-11 06:15:00,22615.0,15,0.0
2022-03-14 06:15:00,22655.0,15,0.0
2022-03-13 19:15:00,22687.0,15,0.0
2022-03-11 15:00:00,22657.0,15,0.0
2022-03-12 12:45:00,22648.0,15,0.0
2022-03-13 07:30:00,22652.0,15,0.0
2022-03-13 00:30:00,22683.0,15,0.0
2022-03-13 09:45:00,22689.0,15,0.0
2022-03-14 02:00:00,22617.0,15,0.0
2022-03-12 03:45:00,22694.0,15,0.0
2022-03-11 09:00:00,22626.0,15,0.0
2022-03-13 04:30:00,22676.0,15,0.0
2022-03-12 12:45:00,22629.0,15,0.0
2022-03-12 22:00:00,22626.0,15,0.0
2022-03-12 10:30:00,22633.0,15,0.0
2022-03-14 19:00:00,22645.0,15,0.0
2022-03-15 01:45:00,22619.0,15,0.0
2022-03-12 17:00:00,22622.0,15,0.0
2022-03-14 00:45:00,22644.0,15,0.0
2022-03-14 12:30:00,22690.0,15,0.0
2022-03-11 02:45:00,22691.0,15,0.0
2022-03-13 01:30:00,22653.0,15,0.0
2022-03-12 22:15:00,22621.0,15,0.0
2022-03-14 01:45:00,22604.0,15,0.0
2022-03-12 15:45:00,22674.0,15,19.0
2022-03-12 12:15:00,22676.0,15,0.0
2022-03-12 07:15:00,22652.0,15,0.0
2022-03-11 10:30:00,22618.0,15,33.0
2022-03-11 15:00:00,22643.0,15,0.0
2022-03-11 14:45:00,22607.0,15,0.0
2022-03-11 11:45:00,22659.0,15,0.0
2022-03-11 13:15:00,22672.0,15,0.0
2022-03-11 23:15:00,22631.0,15,0.0
2022-03-13 05:45:00,22636.0,15,0.0
2022-03-14 00:00:00,22660.0,15,0.0
2022-03-12 17:15:00,22637.0,15,0.0
2022-03-11 04:15:00,22667.0,15,0.0
2022-03-11 23:15:00,22670.0,15,0.0
2022-03-14 02:15:00,22662.0,15,0.0
2022-03-12 01:15:00,22680.0,15,0.0
2022-03-11 10:15:00,22628.0,15,0.0
2022-03-11 15:15:00,22673.0,15,0.0
2022-03-11 21:45:00,22643.0,15,0.0
2022-03-13 01:15:00,22689.0,15,0.0
2022-03-11 07:30:00,22609.0,15,1.0
2022-03-12 03:45:00,22629.0,15,0.0
2022-03-13 02:30:00,22612.0,15,0.0
2022-03-14 21:30:00,22688.0,15,0.0
2022-03-14 10:00:00,22623.0,15,0.0
2022-03-14 01:30:00,22656.0,15,0.0
2022-03-14 03:00:00,22604.0,15,0.0
2022-03-14 13:15:00,22654.0,15,1.0
2022-03-11 07:00:00,22677.0,15,3.0
2022-03-13 00:00:00,22646.0,15,0.0
2022-03-12 21:15:00,22646.0,15,0.0
2022-03-13 12:30:00,22633.0,15,0.0
2022-03-12 08:15:00,22621.0,15,0.0
2022-03-12 02:30:00,22660.0,15,0.0
2022-03-11 08:45:00,22608.0,15,0.0
2022-03-13 06:15:00,22689.0,15,0.0
2022-03-14 17:00:00,22612.0,15,0.0
2022-03-11 05:30:00,22627.0,15,0.0
2022-03-11 19:00:00,22652.0,15,0.0
2022-03-11 01:30:00,22640.0,15,0.0
2022-03-12 14:45:00,22689.0,15,0.0
2022-03-12 09:45:00,22624.0,15,0.0
2022-03-14 22:30:00,22614.0,15,0.0
2022-03-13 16:45:00,22630.0,15,0.0
2022-03-12 11:15:00,22618.0,15,37.0
2022-03-14 11:15:00,22651.0,15,0.0
2022-03-14 06:45:00,22605.0,15,0.0
2022-03-14 01:15:00,22636.0,15,0.0
2022-03-13 08:00:00,22605.0,15,0.0
2022-03-11 23:00:00,22630.0,15,0.0
2022-03-12 03:30:00,22625.0,15,0.0
2022-03-12 13:15:00,22682.0,15,0.0
2022-03-12 23:30:00,22667.0,15,0.0
2022-03-11 22:00:00,22651.0,15,0.0
2022-03-11 14:30:00,22688.0,15,0.0
2022-03-11 11:00:00,22613.0,15,0.0
2022-03-14 19:30:00,22692.0,15,0.0
2022-03-14 14:30:00,22660.0,15,0.0
2022-03-11 06:30:00,22672.0,15,0.0
2022-03-12 03:00:00,22647.0,15,0.0
2022-03-12 19:00:00,22678.0,15,0.0
2022-03-13 23:15:00,22658.0,15,0.0
2022-03-13 00:15:00,22684.0,15,0.0
2022-03-13 05:00:00,22669.0,15,0.0
2022-03-13 11:15:00,22612.0,15,0.0
2022-03-11 09:15:00,22679.0,15,1.0
2022-03-14 03:15:00,22608.0,15,0.0
2022-03-12 12:45:00,22631.0,15,2.0
2022-03-13 12:15:00,22619.0,15,0.0
2022-03-12 16:00:00,22619.0,15,0.0
2022-03-13 21:30:00,22634.0,15,0.0
2022-03-12 22:15:00,22672.0,15,0.0
2022-03-12 05:45:00,22684.0,15,0.0
2022-03-12 23:15:00,22689.0,15,0.0
2022-03-12 23:30:00,22638.0,15,0.0
2022-03-14 21:15:00,22677.0,15,6.0
2022-03-14 09:45:00,22663.0,15,0.0
2022-03-12 04:30:00,22689.0,15,0.0
2022-03-11 16:15:00,22682.0,15,0.0
2022-03-14 02:15:00,22620.0,15,0.0
2022-03-13 12:45:00,22629.0,15,0.0
2022-03-14 11:00:00,22664.0,15,4.0
2022-03-14 13:00:00,22627.0,15,0.0
2022-03-11 01:00:00,22626.0,15,0.0
2022-03-14 18:45:00,22685.0,15,0.0
2022-03-12 09:30:00,22673.0,15,0.0
2022-03-14 08:00:00,22667.0,15,0.0
2022-03-13 08:30:00,22623.0,15,0.0
2022-03-13 05:45:00,22676.0,15,0.0
2022-03-14 14:30:00,22618.0,15,22.0
2022-03-14 06:45:00,22683.0,15,0.0
2022-03-14 07:30:00,22685.0,15,0.0
2022-03-11 17:15:00,22620.0,15,0.0
2022-03-12 16:15:00,22646.0,15,0.0
2022-03-12 23:30:00,22603.0,15,1.0
2022-03-14 02:45:00,22620.0,15,0.0
2022-03-11 12:45:00,22606.0,15,0.0
2022-03-12 15:00:00,22629.0,15,0.0
2022-03-11 16:15:00,22622.0,15,0.0
2022-03-14 10:45:00,22628.0,15,0.0
2022-03-12 07:00:00,22619.0,15,0.0
2022-03-13 01:45:00,22694.0,15,0.0
2022-03-12 16:45:00,22667.0,15,0.0
2022-03-14 09:15:00,22627.0,15,0.0
2022-03-13 20:15:00,22623.0,15,0.0
2022-03-12 05:00:00,22658.0,15,0.0
2022-03-14 01:30:00,22627.0,15,0.0
2022-03-11 23:15:00,22602.0,15,0.0
2022-03-11 09:30:00,22670.0,15,2.0
2022-03-14 11:30:00,22608.0,15,0.0
2022-03-13 11:30:00,22658.0,15,0.0
2022-03-13 01:00:00,22670.0,15,0.0
2022-03-13 12:30:00,22680.0,15,2.0
2022-03-11 02:00:00,22648.0,15,0.0
2022-03-13 18:15:00,22687.0,15,0.0
2022-03-12 23:45:00,22655.0,15,0.0
2022-03-11 07:45:00,22691.0,15,0.0
2022-03-12 04:45:00,22677.0,15,0.0
2022-03-12 15:30:00,22639.0,15,0.0
2022-03-14 01:45:00,22649.0,15,0.0
2022-03-11 07:00:00,22647.0,15,0.0
2022-03-14 22:45:00,22629.0,15,0.0
2022-03-14 11:00:00,22651.0,15,0.0
2022-03-11 02:45:00,22604.0,15,0.0
2022-03-13 15:30:00,22633.0,15,0.0
2022-03-12 16:45:00,22673.0,15,0.0
2022-03-14 12:15:00,22633.0,15,0.0
2022-03-14 23:45:00,22663.0,15,0.0
2022-03-11 00:30:00,22645.0,15,0.0
2022-03-14 02:15:00,22624.0,15,0.0
2022-03-13 20:45:00,22681.0,15,8.0
2022-03-12 13:30:00,22688.0,15,0.0
2022-03-11 09:30:00,22609.0,15,0.0
2022-03-11 01:15:00,22684.0,15,0.0
2022-03-14 22:15:00,22608.0,15,0.0
2022-03-11 23:30:00,22692.0,15,0.0
2022-03-11 04:00:00,22642.0,15,0.0
2022-03-14 08:00:00,22654.0,15,0.0
2022-03-14 09:30:00,22620.0,15,0.0
2022-03-11 00:15:00,22602.0,15,0.0
2022-03-14 11:15:00,22645.0,15,0.0
2022-03-11 18:00:00,22638.0,15,0.0
2022-03-14 06:45:00,22662.0,15,0.0
2022-03-11 14:30:00,22610.0,15,0.0
2022-03-12 01:30:00,22616.0,15,0.0
2022-03-14 17:45:00,22663.0,15,0.0
2022-03-13 05:15:00,22663.0,15,0.0
2022-03-12 07:30:00,22668.0,15,0.0
2022-03-11 03:45:00,22633.0,15,0.0
2022-03-11 18:15:00,22608.0,15,0.0
2022-03-13 12:30:00,22681.0,15,8.0
2022-03-11 06:45:00,22625.0,15,0.0
2022-03-14 19:45:00,22686.0,15,1.0
2022-03-13 08:45:00,22676.0,15,0.0
2022-03-14 05:30:00,22692.0,15,0.0
2022-03-13 20:45:00,22683.0,15,1.0
2022-03-14 00:00:00,22636.0,15,0.0
2022-03-12 14:15:00,22664.0,15,2.0
2022-03-14 17:30:00,22669.0,15,0.0
2022-03-12 22:15:00,22683.0,15,4.0
2022-03-11 02:00:00,22612.0,15,0.0
2022-03-14 00:15:00,22685.0,15,0.0
2022-03-14 21:15:00,22602.0,15,0.0
2022-03-13 10:15:00,22631.0,15,1.0
2022-03-14 15:15:00,22691.0,15,0.0
2022-03-12 21:30:00,22614.0,15,0.0
2022-03-13 07:15:00,22693.0,15,0.0
2022-03-12 18:45:00,22638.0,15,0.0
2022-03-12 02:30:00,22643.0,15,0.0
2022-03-11 12:30:00,22640.0,15,0.0
2022-03-11 02:30:00,22680.0,15,0.0
2022-03-13 13:00:00,22693.0,15,0.0
2022-03-14 15:00:00,22658.0,15,0.0
2022-03-14 09:00:00,22658.0,15,0.0
2022-03-12 19:45:00,22683.0,15,6.0
2022-03-14 08:15:00,22690.0,15,0.0
2022-03-12 08:15:00,22615.0,15,0.0
2022-03-13 14:15:00,22612.0,15,0.0
2022-03-14 02:00:00,22639.0,15,0.0
2022-03-12 17:45:00,22611.0,15,14.0
2022-03-14 02:30:00,22694.0,15,0.0
