nodename,peernodename,mapping_name
G09_Sinchu Sorry_1,G_Sinchu Sorry@Sinchu Sorry,cell_site
G09_Sinchu Sorry_2,G_Sinchu Sorry@Sinchu Sorry,cell_site
G09_Sinchu Sorry_3,G_Sinchu Sorry@Sinchu Sorry,cell_site
G09_Welingara_1,G_Welingara@Welingara,cell_site
G09_Welingara_2,G_Welingara@Welingara,cell_site
G09_Welingara_3,G_Welingara@Welingara,cell_site
G09_Yundum Medina_1,G_Yundum Medina@Yundum Medina,cell_site
G09_Yundum Medina_2,G_Yundum Medina@Yundum Medina,cell_site
G09_Yundum Medina_3,G_Yundum Medina@Yundum Medina,cell_site
G09_Bakau Newtown_1,G_Bakau Newtown@Bakau Newtown,cell_site
G09_Bakau Newtown_2,G_Bakau Newtown@Bakau Newtown,cell_site
G09_Bakau Newtown_3,G_Bakau Newtown@Bakau Newtown,cell_site
G09_GTMI_1,G_GTMI@GTMI,cell_site
G09_GTMI_2,G_GTMI@GTMI,cell_site
G09_GTMI_3,G_GTMI@GTMI,cell_site
G09_Kololi-Palma Junction_1,G_Kololi-Palma Junction@Kololi-Palma Junction,cell_site
G09_Kololi-Palma Junction_2,G_Kololi-Palma Junction@Kololi-Palma Junction,cell_site
G09_Kololi-Palma Junction_3,G_Kololi-Palma Junction@Kololi-Palma Junction,cell_site
G09_Yuna_1,G_Yuna@Yuna,cell_site
G09_Yuna_2,G_Yuna@Yuna,cell_site
G09_Yuna_3,G_Yuna@Yuna,cell_site
G09_Lamin Daranka_1,G_Lamin Daranka@Lamin Daranka,cell_site
G09_Lamin Daranka_2,G_Lamin Daranka@Lamin Daranka,cell_site
G09_Lamin Daranka_3,G_Lamin Daranka@Lamin Daranka,cell_site
G09_Manjai_1,G_Manjai@Manjai,cell_site
G09_Manjai_2,G_Manjai@Manjai,cell_site
G09_Manjai_3,G_Manjai@Manjai,cell_site
G09_Busumbala 4_1,G_Busumbala 4@Busumbala 4,cell_site
G09_Busumbala 4_2,G_Busumbala 4@Busumbala 4,cell_site
G09_Busumbala 4_3,G_Busumbala 4@Busumbala 4,cell_site
G09_Lamin Sateyba_1,G_Lamin Sateyba@Lamin Sateyba,cell_site
G_Bwiam@Bwiam,BSC,Abis
G09_Lamin Sateyba_2,G_Lamin Sateyba@Lamin Sateyba,cell_site
G09_Lamin Sateyba_3,G_Lamin Sateyba@Lamin Sateyba,cell_site
G09_Banjulinding_1,G_Banjulinding@Banjulinding,cell_site
G09_Banjulinding_2,G_Banjulinding@Banjulinding,cell_site
G09_Banjulinding_3,G_Banjulinding@Banjulinding,cell_site
G09_Bijilo II_1,G_Bijilo II@Bijilo II,cell_site
G09_Bijilo II_2,G_Bijilo II@Bijilo II,cell_site
G09_Bijilo II_3,G_Bijilo II@Bijilo II,cell_site
G09_Gouygui Market_1,G_Gouygui Market@Gouygui Market,cell_site
G09_Gouygui Market_2,G_Gouygui Market@Gouygui Market,cell_site
