sk_object,object,measurement_id,duration,userlabel,is_connected,is_included_in_validation,dwh_created,dwh_last_modified
17084,"MRBTS-5091/LNBTS-5091/LNCEL-1,MCC-619/MNC-05,ECI-1303298,MCC-619/MNC-05",nokia_macro_8015,15,MRBTS-5091,1.0,1.0,2022-03-24 03:14:03.143809,2022-03-24 03:14:03.143809
18281,"MRBTS-5045/LNBTS-5045/LNCEL-1,MCC-619/MNC-05,ECI-1291295,MCC-619/MNC-05",nokia_macro_8015,15,MRBTS-5045,1.0,1.0,2022-03-24 03:14:03.143809,2022-03-24 03:14:03.143809
1518,"MRBTS-5200/LNBTS-5200/LNCEL-31,MCC-619/MNC-05,ECI-1288194,MCC-619/MNC-05",nokia_common_8015,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1013,"MRBTS-5200/LNBTS-5200/LNCEL-31,MCC-619/MNC-05,ECI-1302019,MCC-619/MNC-05",nokia_common_8015,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1210,"MRBTS-5200/LNBTS-5200/LNCEL-1,MCC-619/MNC-05,ECI-1285891,MCC-619/MNC-05",nokia_common_8015,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1500,"MRBTS-5050/LNBTS-5050/LNCEL-2,MCC-619/MNC-05,ECI-1292803,MCC-619/MNC-05",nokia_common_8015,11,MRBTS-5050,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
1733,"MRBTS-5200/LNBTS-5200/LNCEL-21,MCC-619/MNC-05,ECI-1302019,MCC-619/MNC-05",nokia_common_8015,13,MRBTS-5200,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
15242,MRBTS-5078/EQM-1/APEQM-1/RMOD-2/ANTL-4,nokia_macro_40001,60,MRBTS-5078,1.0,1.0,2022-03-24 03:13:45.899306,2022-03-24 03:13:45.899306
15605,MRBTS-5045/TNLSVC-1/TNL-1/IPNO-1,nokia_macro_51324,15,MRBTS-5045,1.0,1.0,2022-03-24 03:13:46.514467,2022-03-24 03:13:46.514467
86686,MRBTS-5079/TNLSVC-1/TNL-1/IPNO-1/IPIF-1/IPADDRESSV4-1,nokia_common_51322,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:30.382119,2022-03-26 13:40:30.382119
17091,"MRBTS-5200/LNBTS-5200/LNCEL-31,MCC-619/MNC-05,ECI-1285384,MCC-619/MNC-05",nokia_macro_8015,15,MRBTS-5200,1.0,1.0,2022-03-24 03:14:03.143809,2022-03-24 03:14:03.143809
1355,"MRBTS-5044/LNBTS-5044/LNCEL-31,MCC-619/MNC-05,ECI-1291522,MCC-619/MNC-05",nokia_common_8015,5,MRBTS-5044,1.0,1.0,2022-03-24 02:33:48.726397,2022-03-24 02:33:48.726397
17092,"MRBTS-5089/LNBTS-5089/LNCEL-1,MCC-619/MNC-05,ECI-1299969,MCC-619/MNC-05",nokia_macro_8015,15,MRBTS-5089,1.0,1.0,2022-03-24 03:14:03.143809,2022-03-24 03:14:03.143809
87219,"MRBTS-5079/LNBTS-5079/LNCEL-31,MCC-619/MNC-05,ECI-1302787,MCC-619/MNC-05",nokia_common_8015,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
465,MRBTS-5089/TNLSVC-1/TNL-1/IPNO-1/IPIF-2,nokia_common_51376,6,MRBTS-5089,1.0,1.0,2022-03-24 02:33:32.969959,2022-03-24 02:33:32.969959
497,"MRBTS-5045/LNBTS-5045/LNCEL-11,MCC-619/MNC-05",nokia_common_8001,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:33.399889,2022-03-24 02:33:33.399889
500,"MRBTS-5089/LNBTS-5089/LNCEL-1,MCC-619/MNC-05",nokia_common_8001,6,MRBTS-5089,1.0,1.0,2022-03-24 02:33:33.399889,2022-03-24 02:33:33.399889
504,"MRBTS-5045/LNBTS-5045/LNCEL-2,MCC-619/MNC-05",nokia_common_8001,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:33.399889,2022-03-24 02:33:33.399889
418,MRBTS-5045/TNLSVC-1/TNL-1/IPNO-1/IPIF-2,nokia_common_51374,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:32.686921,2022-03-24 02:33:32.686921
17095,"MRBTS-5200/LNBTS-5200/LNCEL-11,MCC-619/MNC-05,ECI-1300481,MCC-619/MNC-05",nokia_macro_8015,15,MRBTS-5200,1.0,1.0,2022-03-24 03:14:03.143809,2022-03-24 03:14:03.143809
87224,"MRBTS-5079/LNBTS-5079/LNCEL-11,MCC-619/MNC-05,ECI-1285889,MCC-619/MNC-05",nokia_common_8015,4,MRBTS-5079,1.0,1.0,2022-03-26 13:40:46.944854,2022-03-26 13:40:46.944854
306,MRBTS-5089/TNLSVC-1/TNL-1/IPNO-1,nokia_common_51324,6,MRBTS-5089,1.0,1.0,2022-03-24 02:33:31.029272,2022-03-24 02:33:31.029272
611,"MRBTS-5045/LNBTS-5045/LNCEL-31,MCC-619/MNC-05",nokia_common_8006,7,MRBTS-5045,1.0,1.0,2022-03-24 02:33:39.702857,2022-03-24 02:33:39.702857
