begintime,sk_object,duration,M8027C0,M8027C1,M8027C2,M8027C3,M8027C4,M8027C5
2022-03-14 13:00:00,20823.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 16:15:00,20832.0,15,1.0,1.0,1.0,0.0,0.0,0.0
2022-03-11 00:15:00,20804.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 05:00:00,20751.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 00:45:00,20762.0,15,1.0,1.0,1.0,2.0,0.0,2.0
2022-03-12 11:00:00,20785.0,15,5.0,5.0,5.0,11.0,4.0,7.0
2022-03-12 16:00:00,20826.0,15,2.0,2.0,2.0,2.0,0.0,2.0
2022-03-14 11:15:00,20780.0,15,4.0,4.0,3.0,11.0,2.0,9.0
2022-03-12 02:15:00,20819.0,15,0.0,0.0,0.0,2.0,1.0,1.0
2022-03-14 22:30:00,20803.0,15,2.0,2.0,2.0,13.0,2.0,11.0
2022-03-14 07:30:00,20751.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 13:00:00,20748.0,15,1.0,1.0,1.0,0.0,0.0,0.0
2022-03-12 03:15:00,20775.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 06:15:00,20764.0,15,0.0,0.0,0.0,3.0,0.0,3.0
2022-03-13 00:30:00,20766.0,15,0.0,0.0,0.0,3.0,0.0,3.0
2022-03-14 00:00:00,20754.0,15,0.0,0.0,0.0,4.0,2.0,2.0
2022-03-13 16:45:00,20835.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 23:45:00,20808.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-12 09:15:00,20831.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-13 18:30:00,20815.0,15,4.0,4.0,4.0,17.0,2.0,15.0
2022-03-12 04:00:00,20788.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 15:45:00,20795.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 23:00:00,20831.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 04:45:00,20773.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14 11:30:00,20762.0,15,5.0,5.0,5.0,11.0,3.0,8.0
2022-03-14 14:30:00,20786.0,15,6.0,6.0,6.0,9.0,4.0,5.0
2022-03-12 15:30:00,20778.0,15,0.0,0.0,0.0,2.0,2.0,0.0
2022-03-14 06:15:00,20800.0,15,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 20:00:00,20816.0,15,0.0,0.0,0.0,19.0,0.0,19.0
2022-03-13 13:15:00,20829.0,15,0.0,0.0,0.0,0.0,0.0,0.0
