begintime,sk_object,duration,integrity,1282449671,1282449672,1282449673,1282449674
2022-03-03,629619.0,86400.0,100.0,795.3027275,2041.6023,1781.2940220833334,3418.1652
2022-03-15,630336.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-03-12,630030.0,68400.0,79.16666666666667,1922.6472878947368,2569.2399,2768.0818263157894,3923.9096
2022-02-12,629692.0,86400.0,100.0,766.5842183333333,1226.5859,1466.0846845833332,2386.7203
2022-02-06,629756.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-13,630314.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-12,629659.0,86400.0,100.0,97.99798225833334,286.75293,265.9554679166667,564.29173
2022-03-03,629655.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-14,629621.0,86400.0,100.0,586.8529314166667,1439.9633,1375.9096658333333,2621.344
2022-02-03,630399.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-12,629953.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-06,502163.0,86400.0,100.0,508.42499741666666,1011.1364,929.1081008333333,1535.4937
2022-02-18,629766.0,86400.0,100.0,169.52530879166667,409.0032,428.1699295833333,903.9096
2022-02-10,629974.0,86400.0,100.0,249.97043754166666,691.29587,413.31870791666665,805.15947
2022-02-12,629949.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-05,629820.0,86400.0,100.0,134.13299125,457.9804,324.70300545833334,785.9016
2022-03-10,630147.0,79200.0,91.66666666666667,625.0625618181818,991.68093,999.1038936363636,1558.3364
2022-03-13,630107.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-02-10,630036.0,86400.0,100.0,271.6251995416667,681.59107,745.42811125,1660.1865
2022-03-10,629913.0,79200.0,91.66666666666667,0.0,0.0,0.0,0.0
2022-02-11,629827.0,86400.0,100.0,1365.62153875,2739.3149,2645.0776075,4758.9989
2022-02-11,629919.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-20,629755.0,86400.0,100.0,1136.9292366666666,1932.6572,1968.58939875,2969.3472
2022-03-15,630014.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-03-11,630177.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-18,502014.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-11,630376.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-19,629789.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-18,629755.0,86400.0,100.0,1198.7719895833334,2103.3912,2093.3109233333334,3281.6331
2022-03-15,629684.0,82800.0,95.83333333333333,0.0,0.0,0.0,0.0
2022-02-19,630316.0,86400.0,100.0,1722.9293966666667,3231.4628,2833.8587904166666,4665.432
2022-02-19,629767.0,86400.0,100.0,523.4980775,1075.9143,1103.1927708333333,1977.1053
2022-02-17,630305.0,75600.0,87.5,117.92987171428571,355.0936,291.32773142857144,679.4116
2022-02-13,629972.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-14,630139.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-11,629763.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-13,629725.0,75600.0,87.5,0.0,0.0,0.0,0.0
2022-02-04,501823.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-03-03,629830.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-06,630034.0,86400.0,100.0,377.33782916666667,688.7156,763.7017341666667,1220.7044
2022-02-17,630010.0,75600.0,87.5,881.2780147619047,1661.4,1823.6132385714286,3086.3199
2022-03-13,630275.0,75600.0,87.5,173.47912785714286,480.3932,397.4051976190476,933.52707
2022-02-20,502103.0,86400.0,100.0,288.94954429166665,634.9612,715.6822525,1299.6025
2022-03-15,630397.0,82800.0,95.83333333333333,987.1575834782609,1871.602,1937.2747465217392,3322.0968
2022-03-14,629756.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-18,630305.0,86400.0,100.0,123.19579345833333,309.2284,292.70416708333335,724.02067
2022-03-03,630401.0,86400.0,100.0,950.5150391666666,1633.8083,1821.0837083333333,2672.4244
2022-02-04,630404.0,86400.0,100.0,1121.3184029166666,2049.0003,2234.45719875,3401.3079
2022-03-03,501745.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-04,630312.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-03,629784.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-19,629655.0,86400.0,100.0,0.0,0.0,0.0,0.0
2022-02-20,502100.0,86400.0,100.0,0.0,0.0,0.0,0.0
