begintime,duration,object,20001220,20001221
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C2",900.0,87894.0
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C1",900.0,86732.0
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C2",900.0,88236.0
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C1",900.0,86944.0
2021-09-26 21:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C2",900.0,87912.0
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C1",900.0,86895.0
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C2",900.0,88047.0
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C1",900.0,87633.0
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C2",900.0,87499.0
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C1",900.0,87487.0
2021-09-26 19:45:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM002,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C2",900.0,83081.0
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C1",900.0,87742.0
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S1C2",900.0,87976.0
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C1",900.0,85922.0
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S2C2",900.0,87862.0
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C1",900.0,85593.0
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S3C2",900.0,86674.0
2021-09-26 20:00:00,900,"SubNetwork=ONRM_ROOT_MO_R,SubNetwork=KSHRNC01,MeContext=BOM001,ManagedElement=1,NodeBFunction=1,RbsLocalCell=S4C1",900.0,87526.0
