begintime,sk_object,duration,M8033C0,M8033C5,M8033C1,M8033C2,M8033C3,M8033C4,M8033C6,M8033C7,M8033C8
2022-03-12 17:15:00,21369.0,15,216.0,9.0,0.0,15.0,0.0,0.0,0.0,34.0,0.0
2022-03-11 11:15:00,21363.0,15,302.0,32.0,0.0,43.0,0.0,0.0,0.0,38.0,0.0
2022-03-12 13:45:00,21331.0,15,122.0,279.0,0.0,116.0,0.0,0.0,0.0,14.0,0.0
2022-03-11 13:30:00,21372.0,15,84.0,31.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0
2022-03-11 15:15:00,21380.0,15,89.0,8.0,0.0,16.0,0.0,0.0,0.0,17.0,0.0
2022-03-11 12:00:00,21320.0,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2022-03-13 01:00:00,21369.0,15,122.0,16.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0
2022-03-11 00:00:00,21374.0,15,137.0,2.0,0.0,33.0,0.0,0.0,0.0,17.0,0.0
2022-03-11 02:15:00,21395.0,15,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-11 23:45:00,21383.0,15,97.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0
2022-03-12 14:00:00,21312.0,15,431.0,22.0,0.0,49.0,0.0,0.0,0.0,59.0,0.0
2022-03-13 11:45:00,21355.0,15,111.0,76.0,0.0,53.0,0.0,0.0,0.0,5.0,0.0
