NE Name,fdn,BTSID,CABINETDESC,CN,IDTYPE,MOIndex,SRANMODE,TYPE,className,name,neID
FTBSC02,"NE=280,BTSCABINET=77_0",77,-,0,BYID,26_77_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=77, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=70_0",70,-,0,BYID,26_70_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=70, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=192_0",192,-,0,BYID,26_192_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=192, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=104_0",104,-,0,BYID,26_104_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=104, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=118_0",118,-,0,BYID,26_118_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=118, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=182_0",182,-,0,BYID,26_182_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=182, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=150_0",150,-,0,BYID,26_150_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=150, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=91_0",91,-,0,BYID,26_91_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=91, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=210_0",210,-,0,BYID,26_210_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=210, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=94_0",94,-,0,BYID,26_94_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=94, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=214_0",214,-,0,BYID,26_214_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=214, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=225_0",225,-,0,BYID,26_225_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=225, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=222_0",222,-,0,BYID,26_222_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=222, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=178_1",178, ,1,BYID,26_178_1,SUPPORT,RFC-6,BSC6900GSMBTSCABINET,"BTS Index=178, Cabinet No.=1",26
FTBSC02,"NE=280,BTSCABINET=244_0",244,-,0,BYID,26_244_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=244, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=243_0",243,-,0,BYID,26_243_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=243, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=262_0",262,-,0,BYID,26_262_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=262, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=40_0",40,-,0,BYID,26_40_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=40, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=268_0",268,-,0,BYID,26_268_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=268, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=274_0",274,-,0,BYID,26_274_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=274, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=49_1",49, ,1,BYID,26_49_1,SUPPORT,RFC-6,BSC6900GSMBTSCABINET,"BTS Index=49, Cabinet No.=1",26
FTBSC02,"NE=280,BTSCABINET=277_0",277,-,0,BYID,26_277_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=277, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=279_0",279,-,0,BYID,26_279_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=279, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=281_0",281,-,0,BYID,26_281_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=281, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=290_0",290,-,0,BYID,26_290_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=290, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=289_0",289,-,0,BYID,26_289_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=289, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=54_0",54,-,0,BYID,26_54_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=54, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=58_0",58,-,0,BYID,26_58_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=58, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=73_0",73,-,0,BYID,26_73_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=73, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=74_0",74,-,0,BYID,26_74_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=74, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=75_0",75,-,0,BYID,26_75_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=75, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=54_1",54,-,1,BYID,26_54_1,SUPPORT,RFC-6,BSC6900GSMBTSCABINET,"BTS Index=54, Cabinet No.=1",26
FTBSC02,"NE=280,BTSCABINET=123_0",123,-,0,BYID,26_123_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=123, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=193_0",193,-,0,BYID,26_193_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=193, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=135_0",135,-,0,BYID,26_135_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=135, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=134_0",134,-,0,BYID,26_134_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=134, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=107_0",107,-,0,BYID,26_107_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=107, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=130_0",130,-,0,BYID,26_130_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=130, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=129_0",129,-,0,BYID,26_129_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=129, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=108_0",108,-,0,BYID,26_108_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=108, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=101_0",101,-,0,BYID,26_101_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=101, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=138_0",138,-,0,BYID,26_138_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=138, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=139_0",139,-,0,BYID,26_139_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=139, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=194_0",194,-,0,BYID,26_194_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=194, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=144_0",144,-,0,BYID,26_144_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=144, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=179_0",179,-,0,BYID,26_179_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=179, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=169_0",169,-,0,BYID,26_169_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=169, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=145_0",145,-,0,BYID,26_145_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=145, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=147_0",147,-,0,BYID,26_147_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=147, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=166_0",166,-,0,BYID,26_166_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=166, Cabinet No.=0",26
FTBSC02,"NE=280,BTSCABINET=177_0",177,-,0,BYID,26_177_0,SUPPORT,BTS3900,BSC6900GSMBTSCABINET,"BTS Index=177, Cabinet No.=0",26
